FIPS,state_abbr,year,County_Name,Median_Income,Below_Poverty,Population,Edu_HS_Grad,Edu_Bachelors
27071,MN,2012,"Koochiching County, Minnesota",40167.0,1564.0,13293.0,1399.0,9.0
27097,MN,2012,"Morrison County, Minnesota",47110.0,4328.0,33173.0,2509.0,132.0
27147,MN,2012,"Steele County, Minnesota",58403.0,3106.0,36524.0,4415.0,61.0
27001,MN,2012,"Aitkin County, Minnesota",41191.0,1999.0,16166.0,1305.0,71.0
27101,MN,2012,"Murray County, Minnesota",50039.0,866.0,8690.0,778.0,16.0
27067,MN,2012,"Kandiyohi County, Minnesota",50156.0,5362.0,42150.0,4298.0,193.0
27133,MN,2012,"Rock County, Minnesota",45660.0,1126.0,9620.0,900.0,21.0
27155,MN,2012,"Traverse County, Minnesota",44025.0,318.0,3549.0,323.0,12.0
27053,MN,2012,"Hennepin County, Minnesota",63559.0,143141.0,1158039.0,234301.0,12936.0
27023,MN,2012,"Chippewa County, Minnesota",46579.0,1142.0,12327.0,1161.0,20.0
27029,MN,2012,"Clearwater County, Minnesota",41896.0,1288.0,8672.0,630.0,19.0
27059,MN,2012,"Isanti County, Minnesota",58775.0,3041.0,38004.0,3053.0,100.0
27099,MN,2012,"Mower County, Minnesota",46239.0,6072.0,39115.0,3113.0,104.0
27109,MN,2012,"Olmsted County, Minnesota",66667.0,12013.0,144507.0,23706.0,1976.0
27041,MN,2012,"Douglas County, Minnesota",50365.0,3641.0,36167.0,4224.0,110.0
27079,MN,2012,"Le Sueur County, Minnesota",57831.0,2489.0,27744.0,2921.0,170.0
27127,MN,2012,"Redwood County, Minnesota",46071.0,1652.0,16006.0,1353.0,45.0
27153,MN,2012,"Todd County, Minnesota",45287.0,3873.0,24783.0,1624.0,30.0
27055,MN,2012,"Houston County, Minnesota",53453.0,1832.0,19001.0,2082.0,97.0
27111,MN,2012,"Otter Tail County, Minnesota",47579.0,6870.0,57381.0,6518.0,185.0
27003,MN,2012,"Anoka County, Minnesota",69916.0,23324.0,331649.0,40947.0,1582.0
27037,MN,2012,"Dakota County, Minnesota",73288.0,25246.0,399443.0,70144.0,2381.0
27089,MN,2012,"Marshall County, Minnesota",51000.0,731.0,9475.0,900.0,15.0
27163,MN,2012,"Washington County, Minnesota",80747.0,13199.0,238721.0,42260.0,2346.0
27065,MN,2012,"Kanabec County, Minnesota",46323.0,2112.0,16255.0,1050.0,28.0
27093,MN,2012,"Meeker County, Minnesota",52705.0,2415.0,23262.0,1980.0,60.0
27113,MN,2012,"Pennington County, Minnesota",47880.0,1441.0,13950.0,981.0,68.0
27131,MN,2012,"Rice County, Minnesota",60438.0,6163.0,64171.0,7140.0,847.0
27167,MN,2012,"Wilkin County, Minnesota",52970.0,449.0,6584.0,522.0,29.0
27125,MN,2012,"Red Lake County, Minnesota",48750.0,454.0,4100.0,328.0,3.0
27027,MN,2012,"Clay County, Minnesota",52136.0,6851.0,58937.0,7675.0,575.0
27043,MN,2012,"Faribault County, Minnesota",43835.0,1741.0,14546.0,1321.0,33.0
27045,MN,2012,"Fillmore County, Minnesota",48717.0,2622.0,20880.0,1933.0,24.0
27075,MN,2012,"Lake County, Minnesota",47210.0,1390.0,10849.0,1097.0,110.0
27119,MN,2012,"Polk County, Minnesota",49859.0,3705.0,31426.0,3221.0,122.0
27135,MN,2012,"Roseau County, Minnesota",50620.0,1594.0,15665.0,1414.0,35.0
27143,MN,2012,"Sibley County, Minnesota",52996.0,1897.0,15189.0,1177.0,45.0
27165,MN,2012,"Watonwan County, Minnesota",49210.0,1284.0,11177.0,868.0,19.0
27005,MN,2012,"Becker County, Minnesota",49159.0,3786.0,32600.0,3334.0,130.0
27011,MN,2012,"Big Stone County, Minnesota",45545.0,659.0,5250.0,436.0,30.0
27015,MN,2012,"Brown County, Minnesota",47915.0,2221.0,25772.0,2409.0,74.0
27021,MN,2012,"Cass County, Minnesota",43992.0,4644.0,28519.0,2894.0,89.0
27049,MN,2012,"Goodhue County, Minnesota",55603.0,3934.0,46144.0,5307.0,123.0
27057,MN,2012,"Hubbard County, Minnesota",45623.0,2427.0,20372.0,2221.0,103.0
27063,MN,2012,"Jackson County, Minnesota",49886.0,1154.0,10273.0,1002.0,11.0
27091,MN,2012,"Martin County, Minnesota",46790.0,2159.0,20727.0,2039.0,18.0
27105,MN,2012,"Nobles County, Minnesota",47539.0,3604.0,21349.0,1421.0,36.0
27115,MN,2012,"Pine County, Minnesota",44291.0,4110.0,29564.0,1907.0,61.0
27141,MN,2012,"Sherburne County, Minnesota",72041.0,6907.0,88558.0,9676.0,354.0
27159,MN,2012,"Wadena County, Minnesota",35767.0,2497.0,13808.0,881.0,16.0
27009,MN,2012,"Benton County, Minnesota",51365.0,5527.0,38560.0,3561.0,176.0
27019,MN,2012,"Carver County, Minnesota",83275.0,4679.0,91355.0,17916.0,530.0
27047,MN,2012,"Freeborn County, Minnesota",43962.0,3618.0,31188.0,2253.0,68.0
27061,MN,2012,"Itasca County, Minnesota",46180.0,5518.0,45052.0,4640.0,143.0
27085,MN,2012,"McLeod County, Minnesota",55275.0,2773.0,36527.0,3298.0,101.0
27121,MN,2012,"Pope County, Minnesota",51148.0,932.0,10978.0,1131.0,28.0
27123,MN,2012,"Ramsey County, Minnesota",53152.0,83400.0,510885.0,79156.0,7791.0
27149,MN,2012,"Stevens County, Minnesota",52819.0,1285.0,9712.0,1029.0,170.0
27151,MN,2012,"Swift County, Minnesota",45984.0,931.0,9764.0,786.0,24.0
27169,MN,2012,"Winona County, Minnesota",46900.0,7536.0,51481.0,5254.0,609.0
27033,MN,2012,"Cottonwood County, Minnesota",43225.0,1446.0,11665.0,964.0,31.0
27139,MN,2012,"Scott County, Minnesota",84571.0,6752.0,130689.0,22893.0,517.0
27039,MN,2012,"Dodge County, Minnesota",66959.0,1454.0,20071.0,2017.0,18.0
27157,MN,2012,"Wabasha County, Minnesota",53537.0,1662.0,21636.0,2026.0,59.0
27117,MN,2012,"Pipestone County, Minnesota",44817.0,944.0,9536.0,724.0,40.0
27035,MN,2012,"Crow Wing County, Minnesota",46822.0,8258.0,62521.0,6732.0,168.0
27107,MN,2012,"Norman County, Minnesota",45000.0,749.0,6796.0,554.0,10.0
27171,MN,2012,"Wright County, Minnesota",70930.0,7527.0,124737.0,15756.0,312.0
27103,MN,2012,"Nicollet County, Minnesota",59490.0,3336.0,32689.0,4648.0,427.0
27051,MN,2012,"Grant County, Minnesota",47333.0,582.0,6016.0,609.0,7.0
27069,MN,2012,"Kittson County, Minnesota",49301.0,405.0,4547.0,554.0,13.0
27087,MN,2012,"Mahnomen County, Minnesota",39442.0,1459.0,5442.0,357.0,10.0
27025,MN,2012,"Chisago County, Minnesota",66592.0,3949.0,53526.0,4805.0,154.0
27173,MN,2012,"Yellow Medicine County, Minnesota",52134.0,1177.0,10357.0,929.0,27.0
27007,MN,2012,"Beltrami County, Minnesota",44038.0,8855.0,44652.0,4946.0,363.0
27013,MN,2012,"Blue Earth County, Minnesota",49306.0,11756.0,63991.0,8009.0,534.0
27073,MN,2012,"Lac qui Parle County, Minnesota",50203.0,498.0,7240.0,711.0,15.0
