lake_nhdid,percent_bass,state,stock_size,wae_mod_lifestage,wae_repro,year,lake_waterarea_ha,lake_shorelinedevfactor,gdd_wtr_5c,tsi,trophic,stock_density,wae_mod,lake_maxdepth_m,rsvr,lake_namelagos,lake_countyfips,lake_lat_decdeg,lake_lon_decdeg,fips,merge_key,state_abbr,county_name,median_income,population,year_diff,prop_below_poverty,prop_hs_grad,prop_bachelors
120020200,0.330493596,MN,Large_Fingerling,age_1,none,2009,95.98071738,2.149382411,2581.430555,68.74904811,eutrophic,48.82230648,0.437598736,8.81778717,Rsvr,Lotus Lake,27019,44.8769789482252,-93.5301522114108,27019,27019_2009,MN,"Carver County, Minnesota",83275.0,91355.0,3,0.05121777680477259,0.19611406053308522,0.005801543429478409
120020206,0.542274969,MN,Large_Fingerling,age_1,none,2005,1241.838775,1.269642064,3005.30074,65.72451118,eutrophic,34.29591735,0.214849921,11.27532387,Nl,Lake Waconia,27019,44.8690840536395,-93.7710263116105,27019,27019_2005,MN,"Carver County, Minnesota",83275.0,91355.0,7,0.05121777680477259,0.19611406053308522,0.005801543429478409
120020206,0.517495818,MN,Large_Fingerling,age_1,none,2007,1241.838775,1.269642064,3002.423502,65.72451118,eutrophic,37.08613462,0.565560821,11.27532387,Nl,Lake Waconia,27019,44.8690840536395,-93.7710263116105,27019,27019_2007,MN,"Carver County, Minnesota",83275.0,91355.0,5,0.05121777680477259,0.19611406053308522,0.005801543429478409
120020206,0.448540239,MN,Large_Fingerling,age_1,none,2011,1241.838775,1.269642064,2792.248546,69.70225618,eutrophic,30.93074621,0.805687204,11.27532387,Nl,Lake Waconia,27019,44.8690840536395,-93.7710263116105,27019,27019_2011,MN,"Carver County, Minnesota",83275.0,91355.0,1,0.05121777680477259,0.19611406053308522,0.005801543429478409
120019962,0.49082364,MN,Large_Fingerling,age_1,none,2006,237.8690154,1.214205791,2477.367889,47.13118852,mesotrophic,65.47721221,0.393364929,14.53459644,Nl,Dam Lake,27001,46.5100857996889,-93.463756683363,27001,27001_2006,MN,"Aitkin County, Minnesota",41191.0,16166.0,6,0.12365458369417295,0.08072497834962267,0.004391933687987133
120019969,0.417560622,MN,Large_Fingerling,age_1,none,2008,158.3428088,1.322031149,2235.214476,56.66396214,eutrophic,109.8565836,0.060031596,11.27299786,Nl,Sisabagamah Lake,27001,46.5040087370228,-93.6066020198116,27001,27001_2008,MN,"Aitkin County, Minnesota",41191.0,16166.0,4,0.12365458369417295,0.08072497834962267,0.004391933687987133
81632411,0.41289601,MN,Large_Fingerling,age_1,none,2010,248.1918406,1.677494538,2557.729293,44.639471,mesotrophic,158.6675852,0.023696682,23.77323914,Nl,Big Pine Lake,27001,46.3557740522059,-93.7715323893684,27001,27001_2010,MN,"Aitkin County, Minnesota",41191.0,16166.0,2,0.12365458369417295,0.08072497834962267,0.004391933687987133
86445259,0.462563936,MN,Large_Fingerling,age_1,none,2008,152.1317188,1.716413074,2422.27629,60.43677964,eutrophic,19.08872143,0.060031596,8.22887516,Nl,Pine Lake,27001,46.1909607188521,-93.069623165173,27001,27001_2008,MN,"Aitkin County, Minnesota",41191.0,16166.0,4,0.12365458369417295,0.08072497834962267,0.004391933687987133
86445259,0.355580579,MN,Large_Fingerling,age_1,none,2013,152.1317188,1.716413074,2523.15908,59.14178008,eutrophic,46.64379038,0.060031596,8.22887516,Nl,Pine Lake,27001,46.1909607188521,-93.069623165173,27001,27001_2013,MN,"Aitkin County, Minnesota",41191.0,16166.0,1,0.12365458369417295,0.08072497834962267,0.004391933687987133
59746935,0.507940643,MN,Large_Fingerling,age_1,none,2013,175.6503152,1.787297874,2340.983089,44.05877411,mesotrophic,42.47074645,0.023696682,35.65671921,Nl,Long Lake,27001,46.4874386984281,-93.4925441004085,27001,27001_2013,MN,"Aitkin County, Minnesota",41191.0,16166.0,1,0.12365458369417295,0.08072497834962267,0.004391933687987133
59747591,0.471784677,MN,Large_Fingerling,age_1,none,2007,228.2564729,1.33781681,2466.409172,40.1449957,mesotrophic,33.96617805,0.060031596,8.0,Nl,Clear Lake,27001,46.4257107359839,-93.5029954111749,27001,27001_2007,MN,"Aitkin County, Minnesota",41191.0,16166.0,5,0.12365458369417295,0.08072497834962267,0.004391933687987133
120019962,0.474277874,MN,Large_Fingerling,age_1,none,2008,237.8690154,1.214205791,2226.265192,57.13587722,eutrophic,107.7904155,0.134281201,14.53459644,Nl,Dam Lake,27001,46.5100857996889,-93.463756683363,27001,27001_2008,MN,"Aitkin County, Minnesota",41191.0,16166.0,4,0.12365458369417295,0.08072497834962267,0.004391933687987133
120019939,0.350737741,MN,Large_Fingerling,age_1,none,2010,281.4546454,2.087199274,2551.321422,52.12451118,eutrophic,38.90502495,0.134281201,13.39919186,Rsvr,Gun Lake,27001,46.6429799797635,-93.5249289088978,27001,27001_2010,MN,"Aitkin County, Minnesota",41191.0,16166.0,2,0.12365458369417295,0.08072497834962267,0.004391933687987133
59745613,0.494532672,MN,Large_Fingerling,age_1,none,2008,139.3938373,1.370677917,2220.311673,38.07805835,mesotrophic,38.90415893,0.371248025,12.0,Nl,Wilkins Lake,27001,46.6390397841298,-93.4987956191827,27001,27001_2008,MN,"Aitkin County, Minnesota",41191.0,16166.0,4,0.12365458369417295,0.08072497834962267,0.004391933687987133
120019974,0.425393303,MN,Large_Fingerling,age_1,none,2013,170.0064665,1.816743299,2387.686625,46.74855054,mesotrophic,89.14955007,0.060031596,8.8,Nl,Nord Lake,27001,46.4918477564293,-93.6526567145033,27001,27001_2013,MN,"Aitkin County, Minnesota",41191.0,16166.0,1,0.12365458369417295,0.08072497834962267,0.004391933687987133
166867566,0.474322569,MN,Large_Fingerling,age_1,none,2012,208.8111029,2.002212999,2616.734359,67.36965594,eutrophic,59.36944841,0.060031596,7.619627953,Rsvr,Elm Island Lake,27001,46.450758557924,-93.621468216102,27001,27001_2012,MN,"Aitkin County, Minnesota",41191.0,16166.0,0,0.12365458369417295,0.08072497834962267,0.004391933687987133
81632411,0.476052496,MN,Large_Fingerling,age_1,none,2006,248.1918406,1.677494538,2503.348024,43.91190757,mesotrophic,13.82801301,0.255924171,23.77323914,Nl,Big Pine Lake,27001,46.3557740522059,-93.7715323893684,27001,27001_2006,MN,"Aitkin County, Minnesota",41191.0,16166.0,6,0.12365458369417295,0.08072497834962267,0.004391933687987133
81632411,0.467149304,MN,Large_Fingerling,age_1,none,2012,248.1918406,1.677494538,2539.171822,46.21488377,mesotrophic,47.98304397,0.255924171,23.77323914,Nl,Big Pine Lake,27001,46.3557740522059,-93.7715323893684,27001,27001_2012,MN,"Aitkin County, Minnesota",41191.0,16166.0,0,0.12365458369417295,0.08072497834962267,0.004391933687987133
166867563,0.363051164,MN,Large_Fingerling,age_1,none,2010,126.8857196,1.539271176,2615.95513,55.48296046,eutrophic,35.46498388,0.134281201,10.7,Nl,Hanging Kettle Lake,27001,46.4709073556976,-93.7038493493976,27001,27001_2010,MN,"Aitkin County, Minnesota",41191.0,16166.0,2,0.12365458369417295,0.08072497834962267,0.004391933687987133
59747569,0.488331328,MN,Large_Fingerling,age_1,none,2009,210.20576,1.857816593,2166.57485,42.55838904,mesotrophic,50.95483587,0.235387046,14.86649799,Rsvr,Spirit Lake,27001,46.4434068471156,-93.7070957530539,27001,27001_2009,MN,"Aitkin County, Minnesota",41191.0,16166.0,3,0.12365458369417295,0.08072497834962267,0.004391933687987133
59747579,0.491221756,MN,Large_Fingerling,age_1,none,2009,83.00701381,1.133017696,2245.897721,45.51024203,mesotrophic,77.07782399,0.134281201,10.0,Nl,Hickory Lake,27001,46.43917788129,-93.7323890660596,27001,27001_2009,MN,"Aitkin County, Minnesota",41191.0,16166.0,3,0.12365458369417295,0.08072497834962267,0.004391933687987133
81632514,0.462044796,MN,Large_Fingerling,age_1,none,2007,290.8140222,1.288400827,2584.839859,40.70209002,mesotrophic,14.61415089,0.71563981,37.06415558,Nl,Round Lake,27001,46.3346268006505,-93.8050750333513,27001,27001_2007,MN,"Aitkin County, Minnesota",41191.0,16166.0,5,0.12365458369417295,0.08072497834962267,0.004391933687987133
120019976,0.362072456,MN,Large_Fingerling,age_1,none,2013,662.6052369,4.296834904,2461.420362,55.63743077,eutrophic,17.99110441,0.003159558,30.47851181,Rsvr,Cedar Lake,27001,46.500640327984,-93.7962881362502,27001,27001_2013,MN,"Aitkin County, Minnesota",41191.0,16166.0,1,0.12365458369417295,0.08072497834962267,0.004391933687987133
120019888,0.317316972,MN,Large_Fingerling,age_1,none,2010,102.2646965,1.641653366,2632.485168,56.48356752,eutrophic,64.5384011,0.726698262,7.2953825,Nl,Moulton Lake,27001,46.7273234998218,-93.7740462313477,27001,27001_2010,MN,"Aitkin County, Minnesota",41191.0,16166.0,2,0.12365458369417295,0.08072497834962267,0.004391933687987133
120018925,0.45668738,MN,Large_Fingerling,age_1,combo,2006,618.350122,1.507848039,2397.408926,49.0914657,mesotrophic,177.4172853,0.134281201,16.07615471,Nl,Portage Lake,27021,47.3404342726877,-94.2977996745641,27021,27021_2006,MN,"Cass County, Minnesota",43992.0,28519.0,6,0.16283880921490937,0.10147620884322732,0.003120726533188401
72863677,0.470768229,MN,Large_Fingerling,age_1,combo,2005,306.643767,1.973882451,2437.631125,44.16902117,mesotrophic,17.16649926,0.255924171,20.39653206,Nl,Black Water Lake; Blackwater Lake,27021,46.9086906506918,-94.3045920194292,27021,27021_2005,MN,"Cass County, Minnesota",43992.0,28519.0,7,0.16283880921490937,0.10147620884322732,0.003120726533188401
120018989,0.543139227,MN,Large_Fingerling,age_1,none,2007,378.5231793,3.079453815,2429.735482,48.14676617,mesotrophic,46.3274139,0.023696682,35.04167557,Rsvr,Long Lake,27021,47.0323851981468,-94.1627209544413,27021,27021_2007,MN,"Cass County, Minnesota",43992.0,28519.0,5,0.16283880921490937,0.10147620884322732,0.003120726533188401
72863493,0.449974741,MN,Large_Fingerling,age_1,none,2012,508.3424162,2.576279123,2348.299784,44.16902117,mesotrophic,43.44905972,0.023696682,13.71533108,Nl,Birch Lake,27021,46.9398513731639,-94.5487377086957,27021,27021_2012,MN,"Cass County, Minnesota",43992.0,28519.0,0,0.16283880921490937,0.10147620884322732,0.003120726533188401
120019016,0.531388664,MN,Large_Fingerling,age_1,none,2009,2033.345825,2.232483006,2014.662923,38.07805835,mesotrophic,20.70675803,0.483412322,63.35854721,Rsvr,Tenmile Lake,27021,46.9707197702076,-94.5777440145088,27021,27021_2009,MN,"Cass County, Minnesota",43992.0,28519.0,3,0.16283880921490937,0.10147620884322732,0.003120726533188401
