site_id,percent_bass,state,stock_size,wae_mod_lifestage,wae_repro,year,lake_waterarea_ha,lake_lat_decdeg,lake_lon_decdeg,lake_shorelinedevfactor,gdd_wtr_5c,tsi,trophic,stock_density,wae_mod,lake_maxdepth_m,rsvr,wae_cpe,wae_yoy,wae_age_1,wae_age_2
nhdhr_120020200,0.330493596,MN,large_fingerling,age_1,none,2009,95.98071738,44.87697895,-93.53015221,2.149382411,2581.430555,68.74904811,eutrophic,48.82230648,0.437598736,8.81778717,RSVR,NA,NA,0.5,NA
nhdhr_120019962,0.49082364,MN,large_fingerling,age_1,none,2006,237.8690154,46.5100858,-93.46375668,1.214205791,2477.367889,47.13118852,mesotrophic,65.47721221,0.393364929,14.53459644,NL,NA,NA,0.416666667,NA
nhdhr_120019969,0.417560622,MN,large_fingerling,age_1,none,2008,158.3428088,46.50400874,-93.60660202,1.322031149,2235.214476,56.66396214,eutrophic,109.8565836,0.060031596,11.27299786,NL,NA,NA,0.111111111,NA
nhdhr_120018925,0.45668738,MN,large_fingerling,age_1,combo,2006,618.350122,47.34043427,-94.29779967,1.507848039,2397.408926,49.0914657,mesotrophic,177.4172853,0.134281201,16.07615471,NL,NA,NA,0.166666667,NA
nhdhr_72863677,0.470768229,MN,large_fingerling,age_1,combo,2005,306.643767,46.90869065,-94.30459202,1.973882451,2437.631125,44.16902117,mesotrophic,17.16649926,0.255924171,20.39653206,NL,NA,NA,0.25,NA
nhdhr_114539919,0.51748976,MN,large_fingerling,age_1,combo,2007,189.2264407,48.05756452,-90.42174401,2.7516812,2097.737689,37.6121314,mesotrophic,69.26621857,0.060031596,21.6397438,RSVR,NA,NA,0.111111111,NA
nhdhr_120018346,0.488333954,MN,large_fingerling,age_1,none,2011,263.3615011,45.89931306,-95.32744136,1.442082604,2458.897401,57.76902117,eutrophic,37.89468072,0.890995261,19.20049286,NL,NA,NA,4.333333333,NA
nhdhr_58125277,0.450663909,MN,large_fingerling,age_1,combo,2011,726.3016207,45.92947391,-95.34103632,1.567803876,2473.943084,50.96902117,eutrophic,18.67681362,0.778830964,25.8788414,NL,NA,NA,2.083333333,NA
nhdhr_58125241,1,MN,large_fingerling,age_1,none,2008,1056.64497,45.95631761,-95.36976811,1.790065566,2280.121148,49.0914657,mesotrophic,42.05575311,0.116903633,48.51011658,NL,4,NA,0.133333333,NA
nhdhr_58125241,0.980392157,MN,large_fingerling,age_1,none,2010,1056.64497,45.95631761,-95.36976811,1.790065566,2506.02459,49.29610672,mesotrophic,13.62425451,0.371248025,48.51011658,NL,4.53000021,NA,0.4,NA
nhdhr_58123651,0.348366627,MN,large_fingerling,age_1,combo,2013,259.7858485,46.06125856,-95.30750841,1.153637179,2463.045991,55.00575451,eutrophic,36.36456741,0.510268562,13.35996056,NL,NA,NA,0.583333333,NA
nhdhr_86366027,0.491277039,MN,large_fingerling,age_1,combo,2008,329.1581004,45.78158541,-95.36345126,2.197668052,2340.19715,49.0914657,mesotrophic,55.43232865,0.255924171,23.7417202,NL,NA,NA,0.25,NA
nhdhr_120018709,0.35365681,MN,large_fingerling,age_1,none,2009,86.31273961,45.77490086,-95.39758429,1.507442391,2209.244983,61.3606155,eutrophic,67.6609273,0.134281201,5.789832592,NL,NA,NA,0.166666667,NA
nhdhr_120018705,0.402542086,MN,large_fingerling,age_1,none,2013,292.6277417,45.82810201,-95.60564786,2.314592857,2439.652828,55.63083143,eutrophic,50.56595083,0.134281201,5.786954403,NL,NA,NA,0.166666667,NA
